operation_type,original_path,new_path,timestamp,success,error_message
create_dir,,C:\Users\UTENTE\Desktop\Area Finanza\Caricare Dario\Prova\Alcotec S.p.A\PDF\2025,2025-09-22T17:03:16.166539,True,
move,C:\Users\UTENTE\Desktop\Area Finanza\Caricare Dario\Alcotec Spa Bilancio 2023 Xbrl - firmato.pdf,C:\Users\UTENTE\Desktop\Area Finanza\Caricare Dario\Prova\Alcotec S.p.A\PDF\2025\Alcotec Spa Bilancio 2023 Xbrl - firmato.pdf,2025-09-22T17:03:16.171711,True,
create_dir,,C:\Users\UTENTE\Desktop\Area Finanza\Caricare Dario\Prova\Alcotec S.p.A\PDF\2025,2025-09-22T17:03:16.175961,True,
move,C:\Users\UTENTE\Desktop\Area Finanza\Caricare Dario\NOAH SPA Bilancio 2023 completo.pdf,C:\Users\UTENTE\Desktop\Area Finanza\Caricare Dario\Prova\Alcotec S.p.A\PDF\2025\NOAH SPA Bilancio 2023 completo.pdf,2025-09-22T17:03:16.179873,True,
create_dir,,C:\Users\UTENTE\Desktop\Area Finanza\Caricare Dario\Prova\Alcotec S.p.A\PDF\2025,2025-09-22T17:03:16.183012,True,
move,C:\Users\UTENTE\Desktop\Area Finanza\Easy Fintech - Contrattualizzazione\Contratto Easyfintech - unificato v5_2025.pdf,C:\Users\UTENTE\Desktop\Area Finanza\Caricare Dario\Prova\Alcotec S.p.A\PDF\2025\Contratto Easyfintech - unificato v5_2025.pdf,2025-09-22T17:03:16.224584,True,
create_dir,,C:\Users\UTENTE\Desktop\Area Finanza\Caricare Dario\Prova\Alcotec S.p.A\PDF\2025,2025-09-22T17:03:16.227496,True,
move,C:\Users\UTENTE\Desktop\Area Finanza\Caricare Dario\ALCOTEC\ALCOTEC BILANCIO PROVVISORIO OTTOBRE 2024.pdf,C:\Users\UTENTE\Desktop\Area Finanza\Caricare Dario\Prova\Alcotec S.p.A\PDF\2025\ALCOTEC BILANCIO PROVVISORIO OTTOBRE 2024.pdf,2025-09-22T17:03:16.229102,True,
create_dir,,C:\Users\UTENTE\Desktop\Area Finanza\Caricare Dario\Prova\Alcotec S.p.A\PDF\2025,2025-09-22T17:03:16.232376,True,
move,C:\Users\UTENTE\Desktop\Area Finanza\Caricare Dario\ALCOTEC\Alcotec Spa Bilancio 2023 Xbrl - firmato.pdf,C:\Users\UTENTE\Desktop\Area Finanza\Caricare Dario\Prova\Alcotec S.p.A\PDF\2025\Alcotec Spa Bilancio 2023 Xbrl - firmato_1.pdf,2025-09-22T17:03:16.234678,True,
create_dir,,C:\Users\UTENTE\Desktop\Area Finanza\Caricare Dario\Prova\Alcotec S.p.A\PDF\2025,2025-09-22T17:03:16.239165,True,
move,C:\Users\UTENTE\Desktop\Area Finanza\Caricare Dario\ALCOTEC\ALCOTEC SPA Bilancio Xbrl 2022_DEF-firmato.pdf,C:\Users\UTENTE\Desktop\Area Finanza\Caricare Dario\Prova\Alcotec S.p.A\PDF\2025\ALCOTEC SPA Bilancio Xbrl 2022_DEF-firmato.pdf,2025-09-22T17:03:16.241352,True,
create_dir,,C:\Users\UTENTE\Desktop\Area Finanza\Caricare Dario\Prova\Alcotec S.p.A\PDF\2025,2025-09-22T17:03:16.244115,True,
move,C:\Users\UTENTE\Desktop\Area Finanza\Business Plan\C & C gestioni\C__C_GESTIONI_SRL_Cribis_Check_Basic_2025_01_16.pdf,C:\Users\UTENTE\Desktop\Area Finanza\Caricare Dario\Prova\Alcotec S.p.A\PDF\2025\C__C_GESTIONI_SRL_Cribis_Check_Basic_2025_01_16.pdf,2025-09-22T17:03:16.292405,True,
